term,df,R Sum Sq,R Mean Sq,Iter,Pr(Prob),variable,invasion_status02
invasion,1,89723.15546390154,89723.15546390154,199,0.33668341708542715,its_observed_features,community
distance,1,32608.79325070585,32608.79325070585,77,0.5714285714285714,its_observed_features,community
invasion:distance,1,82604.64639973742,82604.64639973742,92,0.5217391304347826,its_observed_features,community
Residuals,31,4236200.047693353,136651.61444172106,NA,NA,its_observed_features,community
soil_moist,1,0.003469261224161401,0.003469261224161401,51,0.8235294117647058,its_pielou_e,community
totalC,1,0.004325865560040276,0.004325865560040276,363,0.21763085399449036,its_pielou_e,community
totalN,1,0.0064342005952240655,0.0064342005952240655,588,0.14625850340136054,its_pielou_e,community
totalP,1,0.002036489455464627,0.002036489455464627,61,0.6229508196721312,its_pielou_e,community
totalK,1,0.0012911405738548578,0.0012911405738548578,78,0.5641025641025641,its_pielou_e,community
invasion,1,0.0028706735565256904,0.0028706735565256904,274,0.27007299270072993,its_pielou_e,community
distance,1,2.4099961100512065e-7,2.4099961100512065e-7,51,1,its_pielou_e,community
invasion:distance,1,8.0611600036927e-4,8.0611600036927e-4,51,0.6666666666666666,its_pielou_e,community
Residuals,31,0.10235547820063287,0.003301789619375254,NA,NA,its_pielou_e,community
soil_moist,1,5.361529295990742e-4,5.361529295990742e-4,60,0.6333333333333333,its_simpson,community
totalC,1,5.327778183215333e-4,5.327778183215333e-4,51,0.7647058823529411,its_simpson,community
totalN,1,0.00102163972474971,0.00102163972474971,338,0.23076923076923078,its_simpson,community
totalP,1,9.714619829796593e-4,9.714619829796593e-4,166,0.3795180722891566,its_simpson,community
totalK,1,2.9526605322576604e-5,2.9526605322576604e-5,51,0.8823529411764706,its_simpson,community
invasion,1,8.222559009409511e-4,8.222559009409511e-4,305,0.24918032786885247,its_simpson,community
distance,1,5.988515139436474e-7,5.988515139436474e-7,51,1,its_simpson,community
invasion:distance,1,8.861086766352785e-5,8.861086766352785e-5,51,0.7058823529411765,its_simpson,community
Residuals,31,0.023982112640381872,7.73616536786512e-4,NA,NA,its_simpson,community
soil_moist,1,106.22238834295779,106.22238834295779,51,1,X16s_observed_features,community
totalC,1,108527.06731973385,108527.06731973385,115,0.46956521739130436,X16s_observed_features,community
totalN,1,57017.58779225865,57017.58779225865,84,0.5476190476190477,X16s_observed_features,community
totalP,1,154548.56121245585,154548.56121245585,90,0.5333333333333333,X16s_observed_features,community
totalK,1,32870.41988836805,32870.41988836805,85,0.5411764705882353,X16s_observed_features,community
invasion,1,184104.19088658754,184104.19088658754,92,0.5217391304347826,X16s_observed_features,community
distance,1,314832.02235343703,314832.02235343703,72,0.5833333333333334,X16s_observed_features,community
invasion:distance,1,486111.9271921193,486111.9271921193,242,0.29338842975206614,X16s_observed_features,community
Residuals,31,12318004.714022292,397354.99077491264,NA,NA,X16s_observed_features,community
soil_moist,1,0.0035929147780712637,0.0035929147780712637,51,0.9215686274509803,X16s_pielou_e,community
totalC,1,0.0016113967787450604,0.0016113967787450604,108,0.48148148148148145,X16s_pielou_e,community
totalN,1,7.365987300459938e-4,7.365987300459938e-4,90,0.5333333333333333,X16s_pielou_e,community
totalP,1,0.010531327262431833,0.010531327262431833,1701,0.05584950029394474,X16s_pielou_e,community
totalK,1,0.015083831663632202,0.015083831663632202,3558,0.027543563799887576,X16s_pielou_e,community
invasion,1,0.0017765329381001186,0.0017765329381001186,51,0.7843137254901961,X16s_pielou_e,community
distance,1,1.888847175707783e-4,1.888847175707783e-4,51,0.9215686274509803,X16s_pielou_e,community
invasion:distance,1,9.05680060595357e-4,9.05680060595357e-4,51,0.9607843137254902,X16s_pielou_e,community
Residuals,31,0.09583580660492866,0.0030914776324170536,NA,NA,X16s_pielou_e,community
soil_moist,1,0.001544609963246709,0.001544609963246709,1769,0.053702656868287166,X16s_simpson,community
totalC,1,0.0010056825607205632,0.0010056825607205632,1834,0.05179934569247546,X16s_simpson,community
totalN,1,8.611655293698726e-4,8.611655293698726e-4,1839,0.051658510059815116,X16s_simpson,community
totalP,1,0.0010225656269807993,0.0010225656269807993,1241,0.0749395648670427,X16s_simpson,community
totalK,1,0.003379021640291698,0.003379021640291698,5000,0.0028,X16s_simpson,community
invasion,1,0.0010882127413337215,0.0010882127413337215,1870,0.05080213903743316,X16s_simpson,community
distance,1,2.6800913501366246e-4,2.6800913501366246e-4,51,0.7058823529411765,X16s_simpson,community
invasion:distance,1,1.49043912704849e-4,1.49043912704849e-4,51,1,X16s_simpson,community
Residuals,31,0.011980397672997632,3.8646444106443974e-4,NA,NA,X16s_simpson,community
soil_moist,1,15.993637818663574,15.993637818663574,51,0.9019607843137255,local_aboveground_mass,invasive
totalC,1,6.727574492770435,6.727574492770435,55,0.6545454545454545,local_aboveground_mass,invasive
totalN,1,0.012112915506982642,0.012112915506982642,51,1,local_aboveground_mass,invasive
totalP,1,42.34404626543271,42.34404626543271,87,0.5402298850574713,local_aboveground_mass,invasive
totalK,1,24.295957369425007,24.295957369425007,51,0.6666666666666666,local_aboveground_mass,invasive
invasion,1,40.83205946614688,40.83205946614688,51,0.7058823529411765,local_aboveground_mass,invasive
distance,1,129.76037145069495,129.76037145069495,153,0.39869281045751637,local_aboveground_mass,invasive
invasion:distance,1,337.35370512689946,337.35370512689946,349,0.22349570200573066,local_aboveground_mass,invasive
Residuals,21,2379.7423060147617,113.32106219117912,NA,NA,local_aboveground_mass,invasive
soil_moist,1,608.4350674719333,608.4350674719333,51,0.9803921568627451,local_no.plants,invasive
totalC,1,1973.0976133444688,1973.0976133444688,83,0.5542168674698795,local_no.plants,invasive
totalN,1,2053.6287333400523,2053.6287333400523,203,0.33004926108374383,local_no.plants,invasive
totalP,1,305.5500756288749,305.5500756288749,51,0.9607843137254902,local_no.plants,invasive
totalK,1,34.8194012666355,34.8194012666355,51,1,local_no.plants,invasive
invasion,1,2575.235754321524,2575.235754321524,51,0.7450980392156863,local_no.plants,invasive
distance,1,2624.5471330126384,2624.5471330126384,51,0.6666666666666666,local_no.plants,invasive
invasion:distance,1,2188.3331044045667,2188.3331044045667,56,0.6428571428571429,local_no.plants,invasive
Residuals,21,73326.32568095103,3491.729794331002,NA,NA,local_no.plants,invasive
soil_moist,1,16.52391873258298,16.52391873258298,91,0.5274725274725275,local_coverage_perc,invasive
totalC,1,24.085523148409788,24.085523148409788,81,0.5555555555555556,local_coverage_perc,invasive
totalN,1,42.405514538269884,42.405514538269884,196,0.34183673469387754,local_coverage_perc,invasive
totalP,1,10.709419172276464,10.709419172276464,65,0.6153846153846154,local_coverage_perc,invasive
totalK,1,12.642745462997093,12.642745462997093,51,0.9411764705882353,local_coverage_perc,invasive
invasion,1,1048.707867394421,1048.707867394421,5000,0.0088,local_coverage_perc,invasive
distance,1,359.335778363434,359.335778363434,311,0.24437299035369775,local_coverage_perc,invasive
invasion:distance,1,256.5659075742626,256.5659075742626,307,0.247557003257329,local_coverage_perc,invasive
Residuals,21,3035.7249996512696,144.55833331672713,NA,NA,local_coverage_perc,invasive
soil_moist,1,0.01609276609482312,0.01609276609482312,51,0.8627450980392157,richness,invasive
totalC,1,0.06669758120919546,0.06669758120919546,51,0.8235294117647058,richness,invasive
totalN,1,3.304277054759312e-4,3.304277054759312e-4,51,0.9803921568627451,richness,invasive
totalP,1,0.004598979318053954,0.004598979318053954,51,0.9215686274509803,richness,invasive
totalK,1,3.0552769976188086,3.0552769976188086,1164,0.07989690721649484,richness,invasive
invasion,1,0.006620603710911874,0.006620603710911874,51,0.9607843137254902,richness,invasive
distance,1,1.3205199433894077,1.3205199433894077,211,0.3222748815165877,richness,invasive
invasion:distance,1,1.300496724347135,1.300496724347135,242,0.29338842975206614,richness,invasive
Residuals,21,17.542099542974178,0.8353380734749608,NA,NA,richness,invasive
soil_moist,1,0.010466635311681604,0.010466635311681604,51,0.6862745098039216,evenness,invasive
totalC,1,0.02682235700684404,0.02682235700684404,65,0.6153846153846154,evenness,invasive
totalN,1,0.038781101535578795,0.038781101535578795,71,0.5915492957746479,evenness,invasive
totalP,1,0.017596243718695254,0.017596243718695254,51,0.7058823529411765,evenness,invasive
totalK,1,0.0828953977398336,0.0828953977398336,182,0.35714285714285715,evenness,invasive
invasion,1,0.11970953555741942,0.11970953555741942,281,0.26334519572953735,evenness,invasive
distance,1,0.16205908347550996,0.16205908347550996,665,0.13082706766917293,evenness,invasive
invasion:distance,1,0.07027056194037822,0.07027056194037822,153,0.39869281045751637,evenness,invasive
Residuals,7,0.4689624891348899,0.06699464130498427,NA,NA,evenness,invasive
soil_moist,1,0.02896075632633235,0.02896075632633235,127,0.4409448818897638,simpson_index,invasive
totalC,1,3.776146642945205e-6,3.776146642945205e-6,51,1,simpson_index,invasive
totalN,1,2.148110660876196e-5,2.148110660876196e-5,51,0.9803921568627451,simpson_index,invasive
totalP,1,0.010443147229870255,0.010443147229870255,51,0.7254901960784313,simpson_index,invasive
totalK,1,0.032340342102763,0.032340342102763,111,0.4774774774774775,simpson_index,invasive
invasion,1,0.058930164215337255,0.058930164215337255,263,0.27756653992395436,simpson_index,invasive
distance,1,0.07819753757577745,0.07819753757577745,228,0.30701754385964913,simpson_index,invasive
invasion:distance,1,0.011684955812936392,0.011684955812936392,88,0.5340909090909091,simpson_index,invasive
Residuals,7,0.24288332444366967,0.0346976177776671,NA,NA,simpson_index,invasive
soil_moist,1,22555.91291404345,22555.91291404345,55,0.6545454545454545,its_observed_features,invasive
totalC,1,39543.64089528859,39543.64089528859,51,0.7450980392156863,its_observed_features,invasive
totalN,1,2713.6561713192505,2713.6561713192505,51,0.9607843137254902,its_observed_features,invasive
totalP,1,228800.39921396723,228800.39921396723,665,0.13082706766917293,its_observed_features,invasive
totalK,1,192716.1201877598,192716.1201877598,788,0.11294416243654823,its_observed_features,invasive
invasion,1,280.40243292241087,280.40243292241087,51,0.9607843137254902,its_observed_features,invasive
distance,1,104689.05358249634,104689.05358249634,51,0.7450980392156863,its_observed_features,invasive
invasion:distance,1,658843.8064012963,658843.8064012963,5000,0.0132,its_observed_features,invasive
Residuals,21,1743697.4554368404,83033.21216365907,NA,NA,its_observed_features,invasive
soil_moist,1,0.004270866080475656,0.004270866080475656,104,0.49038461538461536,its_pielou_e,invasive
totalC,1,0.0013363966449457582,0.0013363966449457582,88,0.5340909090909091,its_pielou_e,invasive
totalN,1,0.0014681224776528193,0.0014681224776528193,143,0.4125874125874126,its_pielou_e,invasive
totalP,1,1.7845288169494926e-4,1.7845288169494926e-4,51,0.803921568627451,its_pielou_e,invasive
totalK,1,2.92847240247686e-4,2.92847240247686e-4,51,0.8431372549019608,its_pielou_e,invasive
invasion,1,0.0033325267149852673,0.0033325267149852673,230,0.30434782608695654,its_pielou_e,invasive
distance,1,0.0025755501286071967,0.0025755501286071967,51,0.8627450980392157,its_pielou_e,invasive
invasion:distance,1,6.047908480753409e-6,6.047908480753409e-6,51,0.9215686274509803,its_pielou_e,invasive
Residuals,21,0.07414925958632627,0.003530917123158394,NA,NA,its_pielou_e,invasive
soil_moist,1,5.718917867779119e-4,5.718917867779119e-4,110,0.4818181818181818,its_simpson,invasive
totalC,1,1.314392482636699e-4,1.314392482636699e-4,69,0.5942028985507246,its_simpson,invasive
totalN,1,3.596976780542266e-4,3.596976780542266e-4,216,0.3194444444444444,its_simpson,invasive
totalP,1,2.725903342265637e-4,2.725903342265637e-4,68,0.6029411764705882,its_simpson,invasive
totalK,1,5.701145186239024e-5,5.701145186239024e-5,51,0.8627450980392157,its_simpson,invasive
invasion,1,0.0012603373245196785,0.0012603373245196785,552,0.1539855072463768,its_simpson,invasive
distance,1,2.6652464475323444e-4,2.6652464475323444e-4,51,0.9019607843137255,its_simpson,invasive
invasion:distance,1,2.2121870233266526e-6,2.2121870233266526e-6,51,0.9215686274509803,its_simpson,invasive
Residuals,21,0.020611721534636387,9.815105492683993e-4,NA,NA,its_simpson,invasive
soil_moist,1,79102.84532659287,79102.84532659287,61,0.6229508196721312,X16s_observed_features,invasive
totalC,1,22139.85757810609,22139.85757810609,51,0.9411764705882353,X16s_observed_features,invasive
totalN,1,76003.51652809868,76003.51652809868,71,0.5915492957746479,X16s_observed_features,invasive
totalP,1,39392.74427001417,39392.74427001417,88,0.5340909090909091,X16s_observed_features,invasive
totalK,1,692779.2222758245,692779.2222758245,318,0.24213836477987422,X16s_observed_features,invasive
invasion,1,788059.9451371491,788059.9451371491,338,0.23076923076923078,X16s_observed_features,invasive
distance,1,1037585.8388414114,1037585.8388414114,353,0.22096317280453256,X16s_observed_features,invasive
invasion:distance,1,78932.08252937741,78932.08252937741,51,0.7254901960784313,X16s_observed_features,invasive
Residuals,21,7811992.867424438,371999.66035354463,NA,NA,X16s_observed_features,invasive
soil_moist,1,3.9637962845170873e-4,3.9637962845170873e-4,81,0.5555555555555556,X16s_pielou_e,invasive
totalC,1,0.0010968525571348727,0.0010968525571348727,131,0.4351145038167939,X16s_pielou_e,invasive
totalN,1,0.0021437982303646034,0.0021437982303646034,145,0.41379310344827586,X16s_pielou_e,invasive
totalP,1,0.008760298711317982,0.008760298711317982,2879,0.033692254254949636,X16s_pielou_e,invasive
totalK,1,0.003532630242412434,0.003532630242412434,209,0.3253588516746411,X16s_pielou_e,invasive
invasion,1,0.0010279883466691737,0.0010279883466691737,51,0.7254901960784313,X16s_pielou_e,invasive
distance,1,0.002578102661939757,0.002578102661939757,351,0.2222222222222222,X16s_pielou_e,invasive
invasion:distance,1,0.0010062636867569138,0.0010062636867569138,56,0.6428571428571429,X16s_pielou_e,invasive
Residuals,21,0.05396699952002077,0.0025698571200009892,NA,NA,X16s_pielou_e,invasive
soil_moist,1,6.814858494353787e-5,6.814858494353787e-5,173,0.3699421965317919,X16s_simpson,invasive
totalC,1,7.179283179792328e-6,7.179283179792328e-6,51,0.7450980392156863,X16s_simpson,invasive
totalN,1,2.0318051833737356e-5,2.0318051833737356e-5,51,0.7254901960784313,X16s_simpson,invasive
totalP,1,2.8859599267490777e-4,2.8859599267490777e-4,2318,0.04141501294219154,X16s_simpson,invasive
totalK,1,1.3836730492689414e-4,1.3836730492689414e-4,280,0.2642857142857143,X16s_simpson,invasive
invasion,1,9.726401264696458e-5,9.726401264696458e-5,295,0.2542372881355932,X16s_simpson,invasive
distance,1,1.3858777537252237e-4,1.3858777537252237e-4,436,0.18807339449541285,X16s_simpson,invasive
invasion:distance,1,2.0137903046934e-5,2.0137903046934e-5,53,0.660377358490566,X16s_simpson,invasive
Residuals,21,0.001688050389260872,8.038335186956534e-5,NA,NA,X16s_simpson,invasive
soil_moist,1,16.194513544462843,16.194513544462843,51,1,local_aboveground_mass,native
totalC,1,11472.581997358857,11472.581997358857,2169,0.04426002766251729,local_aboveground_mass,native
totalN,1,12657.158123935844,12657.158123935844,2204,0.043557168784029036,local_aboveground_mass,native
totalP,1,6983.155086071595,6983.155086071595,763,0.11664482306684142,local_aboveground_mass,native
totalK,1,9782.002984678516,9782.002984678516,848,0.10613207547169812,local_aboveground_mass,native
invasion,1,4317.119628245845,4317.119628245845,263,0.27756653992395436,local_aboveground_mass,native
distance,1,3223.8755630403316,3223.8755630403316,56,0.6428571428571429,local_aboveground_mass,native
invasion:distance,1,777.0041288188222,777.0041288188222,51,0.7843137254901961,local_aboveground_mass,native
Residuals,30,116300.25170043242,3876.6750566810806,NA,NA,local_aboveground_mass,native
soil_moist,1,7329.400127748193,7329.400127748193,205,0.33170731707317075,local_no.plants,native
totalC,1,3088.9247368527667,3088.9247368527667,58,0.6379310344827587,local_no.plants,native
totalN,1,464.6420723878387,464.6420723878387,51,0.8823529411764706,local_no.plants,native
totalP,1,19178.091931995834,19178.091931995834,880,0.10227272727272728,local_no.plants,native
totalK,1,15494.62508951928,15494.62508951928,1522,0.06176084099868594,local_no.plants,native
invasion,1,9157.712878093385,9157.712878093385,1480,0.06351351351351352,local_no.plants,native
distance,1,3513.896280109891,3513.896280109891,177,0.3615819209039548,local_no.plants,native
invasion:distance,1,37150.533121482506,37150.533121482506,5000,0.002,local_no.plants,native
Residuals,30,121975.78844541725,4065.8596148472416,NA,NA,local_no.plants,native
soil_moist,1,299.7235640443941,299.7235640443941,51,0.7058823529411765,local_coverage_perc,native
totalC,1,326.95437023157217,326.95437023157217,78,0.5641025641025641,local_coverage_perc,native
totalN,1,821.1139456175334,821.1139456175334,263,0.27756653992395436,local_coverage_perc,native
totalP,1,1862.5649391466388,1862.5649391466388,381,0.2099737532808399,local_coverage_perc,native
totalK,1,439.3466233744964,439.3466233744964,104,0.49038461538461536,local_coverage_perc,native
invasion,1,4679.2072791852415,4679.2072791852415,3745,0.026168224299065422,local_coverage_perc,native
distance,1,509.09073725280234,509.09073725280234,71,0.5915492957746479,local_coverage_perc,native
invasion:distance,1,2595.1096655403994,2595.1096655403994,1022,0.09001956947162426,local_coverage_perc,native
Residuals,30,25020.874534501898,834.0291511500633,NA,NA,local_coverage_perc,native
soil_moist,1,4.188399943254748,4.188399943254748,175,0.3657142857142857,richness,native
totalC,1,0.7676905561051892,0.7676905561051892,51,0.7058823529411765,richness,native
totalN,1,0.31050183368453077,0.31050183368453077,51,0.8627450980392157,richness,native
totalP,1,0.00616958316440313,0.00616958316440313,51,0.9215686274509803,richness,native
totalK,1,2.1157209376179082,2.1157209376179082,100,0.5,richness,native
invasion,1,21.375215477737488,21.375215477737488,1827,0.05199781061850027,richness,native
distance,1,0.042064528701343716,0.042064528701343716,51,0.9411764705882353,richness,native
invasion:distance,1,1.140463415807333,1.140463415807333,51,0.8627450980392157,richness,native
Residuals,30,156.49808470377408,5.216602823459136,NA,NA,richness,native
soil_moist,1,0.02637136187975088,0.02637136187975088,161,0.38509316770186336,evenness,native
totalC,1,0.057751054172031115,0.057751054172031115,191,0.34554973821989526,evenness,native
totalN,1,0.09734269825684809,0.09734269825684809,392,0.20408163265306123,evenness,native
totalP,1,0.03393782289242279,0.03393782289242279,233,0.30042918454935624,evenness,native
totalK,1,0.0233418634576151,0.0233418634576151,51,0.6666666666666666,evenness,native
invasion,1,0.1459940615429421,0.1459940615429421,1433,0.06559665038381018,evenness,native
distance,1,0.063306042939103635,0.063306042939103635,294,0.25510204081632654,evenness,native
invasion:distance,1,0.023389034279774325,0.023389034279774325,172,0.37209302325581395,evenness,native
Residuals,29,1.3527384607108168,0.046646153817614375,NA,NA,evenness,native
soil_moist,1,0.030494433654824148,0.030494433654824148,163,0.3803680981595092,simpson_index,native
totalC,1,0.050969824284783714,0.050969824284783714,176,0.36363636363636365,simpson_index,native
totalN,1,0.06935837482212981,0.06935837482212981,280,0.2642857142857143,simpson_index,native
totalP,1,0.022198092671197465,0.022198092671197465,131,0.4351145038167939,simpson_index,native
totalK,1,0.0016011377114184403,0.0016011377114184403,51,0.8823529411764706,simpson_index,native
invasion,1,0.1696384426452681,0.1696384426452681,1467,0.06407634628493525,simpson_index,native
distance,1,0.04240754085251326,0.04240754085251326,327,0.23547400611620795,simpson_index,native
invasion:distance,1,1.7274624732248946e-5,1.7274624732248946e-5,51,0.9803921568627451,simpson_index,native
Residuals,29,1.4044164657146545,0.0484281539901605,NA,NA,simpson_index,native
soil_moist,1,80315.28533474858,80315.28533474858,149,0.40268456375838924,its_observed_features,native
totalC,1,173288.23779825127,173288.23779825127,356,0.22191011235955055,its_observed_features,native
totalN,1,108338.48685416688,108338.48685416688,199,0.33668341708542715,its_observed_features,native
totalP,1,13322.587194827986,13322.587194827986,51,0.7647058823529411,its_observed_features,native
totalK,1,385918.2634999988,385918.2634999988,863,0.10428736964078796,its_observed_features,native
invasion,1,80218.68766947257,80218.68766947257,60,0.6333333333333333,its_observed_features,native
distance,1,39394.31796710852,39394.31796710852,66,0.6060606060606061,its_observed_features,native
invasion:distance,1,69294.96643153246,69294.96643153246,90,0.5333333333333333,its_observed_features,native
Residuals,30,4221773.197477105,140725.77324923684,NA,NA,its_observed_features,native
soil_moist,1,0.0038526117635207,0.0038526117635207,295,0.2542372881355932,its_pielou_e,native
totalC,1,0.004147632191766156,0.004147632191766156,56,0.6428571428571429,its_pielou_e,native
totalN,1,0.006211365366428445,0.006211365366428445,501,0.16766467065868262,its_pielou_e,native
totalP,1,0.001984847292019423,0.001984847292019423,136,0.4264705882352941,its_pielou_e,native
totalK,1,0.0013468327729284325,0.0013468327729284325,51,0.7843137254901961,its_pielou_e,native
invasion,1,0.003176053595624996,0.003176053595624996,51,0.6666666666666666,its_pielou_e,native
distance,1,1.666745624585586e-5,1.666745624585586e-5,51,0.8823529411764706,its_pielou_e,native
invasion:distance,1,0.0010534183430958594,0.0010534183430958594,96,0.5104166666666666,its_pielou_e,native
Residuals,30,0.10164444254681466,0.003388148084893822,NA,NA,its_pielou_e,native
soil_moist,1,6.619802661622475e-4,6.619802661622475e-4,174,0.367816091954023,its_simpson,native
totalC,1,4.8797476123843087e-4,4.8797476123843087e-4,51,0.6666666666666666,its_simpson,native
totalN,1,9.579174847075054e-4,9.579174847075054e-4,494,0.1700404858299595,its_simpson,native
totalP,1,9.448772036144846e-4,9.448772036144846e-4,326,0.2361963190184049,its_simpson,native
totalK,1,3.6187567113843466e-5,3.6187567113843466e-5,51,0.8431372549019608,its_simpson,native
invasion,1,9.504145229800176e-4,9.504145229800176e-4,405,0.2,its_simpson,native
distance,1,7.007964378627967e-6,7.007964378627967e-6,51,0.8431372549019608,its_simpson,native
invasion:distance,1,1.5912769845741756e-4,1.5912769845741756e-4,60,0.6333333333333333,its_simpson,native
Residuals,30,0.02358565188809204,7.861883962697346e-4,NA,NA,its_simpson,native
soil_moist,1,166.97372666874713,166.97372666874713,51,0.9411764705882353,X16s_observed_features,native
totalC,1,113569.93232370012,113569.93232370012,103,0.49514563106796117,X16s_observed_features,native
totalN,1,60778.137206265055,60778.137206265055,51,0.7647058823529411,X16s_observed_features,native
totalP,1,151753.4825579317,151753.4825579317,51,0.7058823529411765,X16s_observed_features,native
totalK,1,34610.800733787284,34610.800733787284,51,0.8627450980392157,X16s_observed_features,native
invasion,1,198451.1664533083,198451.1664533083,299,0.2508361204013378,X16s_observed_features,native
distance,1,337470.99359272583,337470.99359272583,87,0.5402298850574713,X16s_observed_features,native
invasion:distance,1,435446.67831159534,435446.67831159534,311,0.24437299035369775,X16s_observed_features,native
Residuals,30,12291055.409626126,409701.8469875375,NA,NA,X16s_observed_features,native
soil_moist,1,0.004513271247038196,0.004513271247038196,60,0.6333333333333333,X16s_pielou_e,native
totalC,1,0.0018310496887827114,0.0018310496887827114,61,0.6229508196721312,X16s_pielou_e,native
totalN,1,8.89888048183267e-4,8.89888048183267e-4,51,0.6862745098039216,X16s_pielou_e,native
totalP,1,0.010285775362605125,0.010285775362605125,2283,0.04204993429697766,X16s_pielou_e,native
totalK,1,0.014672773830887595,0.014672773830887595,2352,0.04081632653061224,X16s_pielou_e,native
